participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,space,17.8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,3.9377,1,1,0,0,0,0,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,3.1378,10,11,0,0,1,1,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,2.359,1,12,0,0,2,2,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,5.5789,10,22,0,0,3,3,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,1.5921,1,23,0,0,4,4,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,2.1701,1,24,0,0,5,5,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,5.6366,1,25,0,0,6,6,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,2.1174,1,26,0,0,7,7,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.9425,10,36,0,0,8,8,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,3.3188,10,46,0,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,2.7213,1,47,0,0,10,10,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.9458,10,57,0,0,11,11,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,1.1925,10,67,0,1,0,12,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.0412,10,77,0,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.5893,10,87,0,1,2,14,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.3755,10,97,0,1,3,15,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.3006,1,98,0,1,4,16,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.7236,10,108,0,1,5,17,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.5344,1,109,0,1,6,18,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.3823,1,110,0,1,7,19,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.7295,1,111,0,1,8,20,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.7446,1,112,0,1,9,21,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.8541,10,122,0,1,10,22,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.7649,10,132,0,1,11,23,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.5658,10,142,0,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,2.244,1,143,0,2,1,25,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,5.3461,1,144,0,2,2,26,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,5.1731,1,145,0,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,1.5412,1,146,0,2,4,28,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.3509,1,147,0,2,5,29,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.8176,1,148,0,2,6,30,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,3.7891,10,158,0,2,7,31,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.9764,1,159,0,2,8,32,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,9.6747,10,169,0,2,9,33,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,2.6424,1,170,0,2,10,34,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,4.981,1,171,0,2,11,35,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,3.687,10,181,1,0,0,0,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,3.5289,1,182,1,0,1,1,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,1.9186,1,183,1,0,2,2,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,3.815,1,184,1,0,3,3,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.3,1,185,1,0,4,4,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.058,1,186,1,0,5,5,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,1.7424,10,196,1,0,6,6,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,2.305,10,206,1,0,7,7,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,8.3188,10,216,1,0,8,8,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.8255,1,217,1,0,9,9,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,2.5622,1,218,1,0,10,10,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,1.8269,1,219,1,0,11,11,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,6.8285,1,220,1,1,0,12,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
